Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
B278;2.7;3.0;5.5;9.4;10.8;16.2;20.7;20.5;17.7;14.2;8.7;8.3;11.5
0200E;4.4;7.5;8.7;9.2;11.5;17.2;20.6;20.7;17.6;15.0;8.3;8.6;12.4
0076;4.6;6.3;9.0;11.2;13.1;18.2;22.5;22.8;19.4;16.0;9.0;9.0;13.4
1082;4.3;5.6;6.1;7.9;9.2;13.2;16.9;16.5;14.3;12.8;8.3;6.7;10.2
2331;-1.2;-1.6;0.2;3.0;4.2;9.1;12.8;11.8;9.5;7.2;3.6;1.5;5.0
3469A;2.4;4.0;6.0;8.0;12.8;14.7;18.8;18.9;16.3;12.5;8.9;6.9;10.9
5973;9.4;11.2;13.2;13.8;17.7;18.7;;21.7;20.6;;14.0;12.6;
5960;2.9;3.9;7.1;;12.7;;17.5;17.2;15.8;;9.0;6.9;
5910;5.6;7.1;9.7;11.1;15.7;16.5;19.5;19.6;18.0;14.0;11.6;9.4;13.2
6001;8.8;;;11.7;;;;19.6;18.5;15.6;12.2;;
1111;7.3;8.3;8.9;9.6;11.0;14.3;17.9;17.9;16.3;14.2;9.9;9.5;12.1
1109;5.9;5.5;7.5;8.6;10.9;13.8;17.7;17.4;15.6;13.2;9.4;7.4;11.1
8500A;5.7;7.0;9.2;11.3;13.8;17.8;22.3;22.0;19.9;15.9;11.3;9.6;13.8
5000C;11.6;11.8;13.5;13.3;16.6;17.9;20.5;21.5;19.8;17.5;14.1;13.6;16.0
