Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
C447A;;7.9(17);;8.7(07);;10.8(16);14.5(12);14.7(08);14.1(21);11.6(25);10.1(20);9.3(19);
C429I;12.9(26);12.0(10);12.4(26);12.5(04);14.9(06);16.1(07);17.8(25);18.5(15);18.6(20);16.7(25);14.9(19);;
2465;-6.3(11);-3.5(03);-2.1(26);-3.5(04);2.4(04);3.5(12);9.4(28);8.4(12);6.0(06);2.6(22);-0.3(15);-0.2(03);-6.3(11/ene)
5796;-2.0(08);0.2(03);3.4(15);3.9(04);10.2(18);10.9(06);14.2(05);14.9(13);12.8(24);7.0(16);0.6(16);1.8(12);-2.0(08/ene)
5783;0.5(06);1.4(03);4.4(07);6.9(11);11.4(18);12.5(15);;;14.7(24);8.9(24);1.3(16);4.2(12);
2030;-5.3(15);-4.6(04);-3.1(22);-2.7(04);-0.7(06);2.1(08);9.2(28);9.4(22);6.7(23);1.5(21);-2.8(16);-3.2(03);-5.3(15/ene)
0016A;-2.7(11);0.6(13);2.8(08);5.1(07);5.5(06);9.0(12);18.6(10);15.5(14);13.7(07);8.3(24);0.3(16);0.7(31);-2.7(11/ene)
9981A;1.1(04);-0.1(17);4.4(12);6.3(04);10.3(06);12.3(12);16.7(09);17.9(28);13.9(11);10.7(26);2.6(20);2.8(28);-0.1(17/feb)
9381I;-8.1(05);-5.5(17);-5.2(21);-2.1(13);-1.7(06);0.9(12);9.5(28);8.2(14);4.7(06);2.2(17);-3.6(19);-6.0(28);-8.1(05/ene)
8368U;-9.4(11);-5.6(17);-4.1(21);-1.7(04);-0.4(06);0.7(12);11.2(29);10.8(22);7.4(06);0.9(17);-4.1(17);-6.7(28);-9.4(11/ene)
3260B;-4.4(07);-2.9(04);0.9(14);;6.9(04);9.6(12);15.6(09);15.5(12);;;0.0(19);-1.2(31);
8416;1.7(11);4.0(17);7.1(29);9.3(05);9.0(04);13.2(12);21.3(03);18.8(27);15.6(11);12.0(24);6.0(19);5.8(31);1.7(11/ene)
8414A;-1.7(11);0.3(04);3.3(28);6.7(05);6.9(04);11.0(12);19.5(03);17.1(22);15.1(11);9.1(24);1.6(19);2.1(28);-1.7(11/ene)
2422;-5.5(05);-3.6(04);-0.8(14);-1.0(04);3.7(06);6.0(08);10.8(28);9.7(12);9.1(23);4.1(21);-1.1(19);-1.5(29);-5.5(05/ene)
2539;-6.0(06);-5.3(03);-3.7(18);-4.1(04);-0.2(04);2.6(08);8.4(30);7.0(12);6.0(09);0.9(21);-2.5(16);-4.8(31);-6.0(06/ene)
2614;-5.3(07);-3.6(04);-0.7(18);0.1(04);3.9(04);6.1(08);11.7(28);9.9(13);8.4(28);4.3(22);-1.0(19);-2.5(29);-5.3(07/ene)
9390;-7.4(04);-4.0(17);-3.8(21);-2.7(04);-1.2(06);2.3(12);10.1(28);9.3(14);5.7(07);3.9(26);-3.4(19);-6.0(28);-7.4(04/ene)
9434;-4.9(05);-0.5(16);1.7(22);1.8(04);6.3(06);8.0(12);15.8(29);15.4(14);12.7(09);9.1(25);1.8(20);0.0(28);-4.9(05/ene)
