Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
C139E;26.1(13);28.3(23);22.7(26);;;27.4(24);26.7(20);30.5(17);27.2(08);28.9(27);;29.0(29);
C449C;24.2(01);27.6(13);25.2(16);27.6(30);30.9(27);33.0(03);34.4(24);33.7(16);31.8(30);31.8(01);30.4(02);27.1(24);34.4(24/jul)
C447A;;24.6(13);;22.1(14);;33.0(02);27.8(25);36.4(24);33.7(30);33.9(01);29.0(02);23.6(25);
C429I;24.5(13);29.1(11);26.8(10);25.6(30);28.8(24);32.2(03);32.2(25);36.4(17);30.6(30);35.3(02);31.1(02);;
2465;13.8(26);20.8(27);22.0(16);22.0(30);29.8(31);38.1(29);36.4(22);34.2(17);30.4(04);28.2(08);16.9(01);17.6(25);38.1(29/jun)
5796;19.9(25);24.2(26);26.7(15);29.9(30);35.1(28);36.3(02);39.2(11);39.7(17);37.7(03);33.8(08);25.6(01);23.7(27);39.7(17/ago)
5783;21.2(26);24.6(26);28.1(11);30.8(30);36.5(28);37.6(02);;;37.6(03);35.5(07);27.9(01);21.9(27);
2030;17.0(04);21.8(23);23.2(16);22.0(29);28.6(31);37.9(29);35.9(12);34.2(17);29.5(03);28.5(08);16.3(01);20.0(28);37.9(29/jun)
0016A;19.4(06);24.0(22);26.3(17);24.4(27);28.5(12);36.1(29);33.9(07);33.9(09);31.7(18);28.5(07);25.9(02);20.2(25);36.1(29/jun)
9981A;20.0(26);27.2(27);28.6(10);28.9(14);29.6(10);42.4(29);39.8(07);39.2(09);33.9(17);30.7(01);28.3(02);23.3(24);42.4(29/jun)
9381I;14.8(26);23.0(27);26.0(16);23.2(15);29.5(16);39.5(29);37.4(23);37.0(05);31.0(30);29.4(08);21.2(01);17.6(21);39.5(29/jun)
8368U;15.7(15);23.0(27);25.9(16);23.6(29);29.8(31);38.8(29);39.4(12);37.7(17);33.7(01);29.2(01);21.2(01);19.0(21);39.4(12/jul)
3260B;19.0(25);23.7(26);27.4(16);;34.9(15);41.9(29);41.0(12);39.0(17);;;22.7(01);19.1(21);
8416;21.8(25);25.4(27);29.8(17);30.4(14);32.5(10);35.5(29);37.8(07);41.4(09);34.5(24);35.0(01);30.1(01);25.3(21);41.4(09/ago)
8414A;21.0(26);27.3(27);29.6(17);30.5(14);32.7(10);37.6(29);38.3(07);42.4(09);35.0(24);35.3(01);29.5(01);24.7(21);42.4(09/ago)
2422;15.7(24);21.8(26);23.0(16);24.0(29);31.6(31);39.8(28);38.7(22);35.3(03);31.2(04);28.9(08);18.9(01);15.9(21);39.8(28/jun)
2539;14.9(24);20.2(26);20.1(16);21.9(29);29.7(31);38.9(28);37.4(22);33.6(03);29.7(04);27.3(08);19.0(01);15.1(21);38.9(28/jun)
2614;16.9(24);21.0(26);23.3(16);26.3(30);33.2(31);39.1(28);38.7(22);36.6(24);32.7(04);29.9(08);20.2(01);15.8(21);39.1(28/jun)
9390;14.8(01);23.5(27);25.2(16);23.9(15);29.2(31);40.7(29);37.8(12);37.0(04);32.1(30);30.1(08);21.2(01);18.2(25);40.7(29/jun)
9434;16.4(31);25.5(27);25.0(16);26.1(30);30.8(15);43.2(29);40.9(23);39.9(09);32.2(29);29.3(08);25.1(01);19.3(20);43.2(29/jun)
