Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3200;Q4;9.0;9.2;11.5;13.8;18.2;22.8;23.9;24.0;20.4;15.8;12.8;10.6;24.4
3200;Max;10.8;11.8;13.4;15.4;21.0;24.2;25.4;25.0;23.2;18.4;15.6;11.8;25.4
3200;Mn;7.9;8.0;9.6;11.8;16.0;20.5;23.1;23.4;19.5;15.0;11.2;8.7;23.6
3200;Md;7.1;7.9;10.0;11.9;16.0;20.7;23.1;22.7;19.4;14.9;11.1;8.6;23.7
3200;S;2.12;1.67;1.51;1.82;2.50;1.87;1.14;1.73;1.78;1.56;1.90;2.09;0.92
3200;Cv;0.30;0.21;0.15;0.15;0.16;0.09;0.05;0.08;0.09;0.10;0.17;0.24;0.04
3195;N;30;30;30;30;30;30;30;30;30;30;30;30;30
3195;Min;3.8;3.6;8.5;8.0;9.6;18.3;20.4;19.2;16.8;12.6;7.3;5.8;21.6
3195;Q1;5.9;7.2;9.5;11.3;15.0;19.8;22.6;21.4;18.6;13.7;10.4;7.4;23.0
3195;Q2;7.4;8.0;10.6;11.9;16.1;21.0;23.2;22.6;19.5;14.9;11.4;8.3;23.5
3195;Q3;8.3;8.7;11.5;13.6;17.6;21.6;23.6;23.5;20.2;15.5;12.0;9.3;24.3
3195;Q4;9.0;9.6;12.5;14.5;18.3;22.9;24.7;24.3;21.5;16.3;12.8;10.7;25.0
3195;Max;10.7;10.6;13.4;15.8;20.6;23.7;25.4;25.0;23.1;18.8;15.2;11.6;25.4
3195;Mn;7.7;8.4;11.1;13.1;17.1;21.4;23.4;23.2;19.8;15.3;11.6;8.9;24.2
3195;Md;7.5;8.1;11.0;12.8;16.6;21.2;23.4;22.9;19.9;15.2;11.5;9.0;23.9
3195;S;1.73;1.53;1.43;1.88;2.23;1.60;1.19;1.55;1.61;1.48;1.62;1.64;0.95
3195;Cv;0.23;0.19;0.13;0.15;0.13;0.08;0.05;0.07;0.08;0.10;0.14;0.18;0.04
3175;N;29;30;30;30;30;29;30;30;30;29;30;30;27
3175;Min;1.0;3.6;7.0;7.0;10.6;16.0;20.2;18.0;14.4;12.0;5.0;4.0;20.6
3175;Q1;4.6;5.9;8.0;10.0;13.2;18.0;20.6;19.6;16.8;13.4;9.6;6.8;21.6
3175;Q2;7.4;7.3;9.1;10.5;14.1;18.8;21.4;21.1;18.1;14.4;10.5;8.2;22.1
3175;Q3;8.4;8.2;10.0;11.1;14.7;19.6;21.9;21.7;18.8;14.8;11.1;9.0;23.0
3175;Q4;9.4;8.9;10.7;12.5;16.4;20.4;23.1;22.6;19.6;15.6;12.5;10.4;23.5
3175;Max;11.2;10.8;13.2;13.0;17.8;23.6;24.3;24.5;23.2;17.4;16.0;12.5;24.5
3175;Mn;8.2;8.0;9.5;10.7;14.5;19.5;21.6;21.6;18.5;14.5;11.0;8.4;22.6
3175;Md;7.2;7.6;9.5;10.9;14.7;19.4;21.8;21.3;18.4;14.5;10.8;8.6;22.5
3175;S;2.48;1.71;1.58;1.48;1.81;1.57;1.14;1.62;1.67;1.32;2.21;2.18;1.10
3175;Cv;0.34;0.23;0.17;0.14;0.12;0.08;0.05;0.08;0.09;0.09;0.20;0.25;0.05
2462;N;30;30;30;30;30;30;30;30;30;30;30;30;30
2462;Min;0.0;0.0;1.2;1.6;4.2;10.0;14.0;12.8;11.3;5.0;3.2;0.0;16.4
2462;Q1;1.8;0.8;2.9;4.4;7.8;13.2;16.2;16.2;12.8;8.0;4.4;2.3;17.8
2462;Q2;2.5;2.2;4.5;6.0;9.6;14.2;17.8;17.0;13.8;8.5;6.1;4.2;18.2
2462;Q3;3.1;4.0;5.8;7.0;10.5;15.3;18.2;17.8;14.9;10.0;6.7;4.8;18.6
2462;Q4;4.8;5.3;7.0;8.9;11.8;16.4;18.6;18.4;16.4;11.4;8.2;5.6;19.9
2462;Max;7.0;9.4;8.4;10.0;16.6;19.2;20.4;20.4;20.2;13.7;9.6;9.2;20.4
2462;Mn;2.8;3.4;5.2;6.6;10.2;15.0;18.0;17.6;14.6;9.1;6.4;4.5;18.4
2462;Md;3.0;3.3;5.0;6.5;9.9;14.8;17.7;17.4;14.6;9.6;6.4;4.3;18.6
2462;S;1.81;2.34;1.97;2.23;2.62;2.17;1.37;1.59;2.11;1.99;1.77;1.99;0.96
2462;Cv;0.60;0.72;0.39;0.34;0.27;0.15;0.08;0.09;0.14;0.21;0.28;0.46;0.05
6155A;N;30;30;30;30;30;30;30;30;29;30;30;30;29
6155A;Min;11.0;9.6;12.2;13.2;15.6;20.0;22.4;22.6;21.0;17.0;13.6;11.6;23.0
6155A;Q1;12.2;12.0;13.5;14.4;17.2;21.4;23.0;23.8;22.2;18.4;15.5;12.8;24.4
6155A;Q2;12.5;13.2;14.7;15.3;18.3;22.0;23.6;24.2;22.6;19.1;16.3;13.8;24.6
6155A;Q3;13.2;13.9;15.0;16.2;19.6;22.6;24.7;25.3;23.0;19.6;17.5;14.5;25.4
6155A;Q4;14.0;14.9;15.2;17.4;20.4;23.8;25.2;25.8;24.2;20.2;18.3;15.0;26.6
6155A;Max;15.0;16.0;19.4;18.6;23.8;26.0;27.8;27.6;25.2;24.4;20.2;17.2;27.8
6155A;Mn;12.7;13.6;14.8;15.8;19.1;22.3;24.5;24.6;22.6;19.5;17.0;14.3;25.0
6155A;Md;12.9;13.3;14.7;15.8;18.9;22.5;24.4;24.8;23.0;19.5;16.9;14.1;25.3
6155A;S;1.09;1.58;1.46;1.55;1.75;1.39;1.43;1.27;1.05;1.45;1.51;1.36;1.24
6155A;Cv;0.08;0.12;0.10;0.10;0.09;0.06;0.06;0.05;0.05;0.07;0.09;0.10;0.05
6000A;N;29;28;30;30;30;30;30;30;30;30;30;30;28
6000A;Min;11.0;11.4;13.2;14.0;16.0;19.8;21.4;22.4;21.8;18.2;14.6;13.2;23.8
6000A;Q1;12.6;13.2;14.0;15.5;17.8;21.0;23.5;24.0;22.7;19.8;16.6;14.4;24.6
6000A;Q2;13.8;14.0;14.8;16.2;18.3;21.7;24.3;24.4;23.4;20.4;17.3;15.3;25.3
6000A;Q3;14.4;14.4;15.0;16.5;19.3;22.2;25.2;25.5;23.7;21.0;18.0;15.6;26.0
6000A;Q4;15.0;15.2;16.0;17.6;20.6;23.4;26.2;26.4;24.2;21.6;19.1;16.0;28.0
6000A;Max;15.6;16.2;20.0;18.8;24.0;24.6;30.4;30.6;25.2;22.4;21.8;18.2;30.6
6000A;Mn;14.2;14.1;14.8;16.3;18.9;22.0;24.9;25.0;23.5;20.8;17.7;15.4;25.5
6000A;Md;13.8;14.2;15.1;16.4;19.0;22.1;25.0;25.3;23.5;20.6;17.8;15.3;26.1
6000A;S;1.19;1.11;1.32;1.16;1.65;1.35;1.88;1.69;0.88;0.98;1.50;1.06;1.81
6000A;Cv;0.09;0.08;0.09;0.07;0.09;0.06;0.08;0.07;0.04;0.05;0.08;0.07;0.07
7178I;N;26;26;26;27;27;27;27;27;27;27;27;27;26
7178I;Min;5.6;8.8;9.8;11.8;14.6;17.8;21.0;21.6;19.2;16.4;11.8;7.6;22.8
7178I;Q1;9.0;10.0;11.5;13.1;16.5;19.7;22.7;23.2;20.9;17.3;14.0;9.6;23.2
7178I;Q2;9.9;11.4;12.0;14.0;17.6;20.8;23.2;23.6;21.6;18.4;14.8;10.4;24.0
7178I;Q3;10.6;11.8;12.8;15.1;18.6;21.6;24.0;24.0;22.4;18.8;15.7;11.7;24.4
7178I;Q4;11.5;12.4;13.9;15.9;19.6;22.5;24.4;24.6;23.2;19.7;17.0;13.0;25.2
7178I;Max;14.2;13.4;16.2;17.4;21.0;24.0;25.6;26.0;25.0;21.0;20.4;17.5;26.0
7178I;Mn;10.6;11.6;12.6;14.7;18.2;21.3;23.5;23.8;21.8;18.6;15.4;11.0;24.2
7178I;Md;10.2;11.4;12.6;14.5;18.0;21.1;23.6;23.9;22.1;18.6;15.3;11.3;24.2
7178I;S;1.85;1.21;1.41;1.42;1.58;1.50;1.10;0.90;1.40;1.30;1.87;2.22;0.91
7178I;Cv;0.18;0.11;0.11;0.10;0.09;0.07;0.05;0.04;0.06;0.07;0.12;0.20;0.04
7228;N;30;30;30;30;30;30;30;30;30;30;30;30;30
7228;Min;6.4;8.6;10.6;11.6;12.5;18.4;21.8;21.6;19.1;16.4;11.0;9.0;22.0
7228;Q1;8.5;9.6;11.4;13.0;16.2;20.2;22.8;22.9;20.6;17.5;13.6;9.6;23.0
7228;Q2;9.5;11.0;12.4;13.9;17.5;20.8;23.0;23.5;21.5;18.0;14.3;10.1;23.9
7228;Q3;10.1;11.6;13.1;14.5;18.4;21.4;23.6;24.0;22.3;19.0;15.2;11.4;24.4
7228;Q4;11.3;12.4;14.0;15.4;19.0;22.2;24.4;24.7;23.0;19.6;16.4;13.3;24.9
7228;Max;13.5;15.0;15.6;16.6;20.2;23.4;25.8;26.0;24.5;20.8;20.8;17.5;26.0
7228;Mn;9.8;11.5;12.9;14.3;17.8;21.1;23.3;23.9;22.0;18.2;14.8;10.6;24.0
7228;Md;9.9;11.3;12.7;14.2;17.7;21.1;23.5;23.8;21.8;18.5;15.0;11.4;24.1
7228;S;1.82;1.68;1.26;1.24;1.70;1.26;0.97;0.99;1.35;1.22;1.96;2.16;0.95
7228;Cv;0.18;0.15;0.10;0.09;0.10;0.06;0.04;0.04;0.06;0.07;0.13;0.19;0.04
7031;N;30;30;30;30;30;30;29;28;30;29;28;29;25
7031;Min;8.6;9.8;10.6;11.8;15.2;19.6;22.6;23.2;20.4;16.0;12.7;9.2;23.2
7031;Q1;9.6;11.0;11.7;14.0;17.1;20.6;23.8;24.2;22.0;18.7;15.2;11.0;24.2
7031;Q2;10.9;11.6;13.0;14.9;18.9;21.6;24.0;25.0;22.7;19.4;15.9;12.4;25.0
7031;Q3;11.5;12.9;14.0;15.9;19.3;22.6;24.6;25.4;24.0;20.0;17.1;13.4;25.5
