Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
2331;2.3;1.0;7.7;6.1;11.3;14.5;16.2;19.4;13.2;8.5;3.7;3.2;1.0
3469A;8.7;9.9;12.7;10.8;18.8;21.7;27.4;26.4;20.8;12.2;9.5;11.1;8.7
5973;14.1;12.9;16.9;15.8;19.9;21.3;;24.4;23.2;;14.4;14.7;
5960;14.3;13.5;18.5;;23.0;;26.9;28.7;25.7;;15.2;14.7;
5910;13.9;13.0;17.5;16.0;20.8;22.5;25.4;26.7;24.5;17.8;14.0;15.0;13.0
6001;13.2;;;14.7;;;;22.8;21.8;17.3;12.4;;
1111;8.6;10.0;11.7;10.1;12.8;15.2;18.7;20.0;19.2;13.9;11.5;10.0;8.6
1109;9.4;10.4;12.4;10.0;13.9;16.5;19.4;20.1;20.0;13.6;11.0;9.8;9.4
8500A;11.8;12.9;13.2;15.8;19.0;23.6;28.6;26.6;21.4;16.4;15.6;12.8;11.8
5000C;15.0;13.5;14.7;14.9;19.1;21.1;25.7;25.5;21.6;20.2;14.6;15.2;13.5
4121;7.5;9.6;13.7;11.3;20.1;23.0;27.6;30.0;18.8;10.3;9.0;4.5;4.5
5402;11.6;13.4;;15.5;25.0;27.1;30.7;;26.2;15.2;9.8;13.7;
