Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
6325O;Max;24.4;25.2;32.4;29.7;34.2;40.6;41.2;40.0;37.6;31.6;29.0;24.4;41.2
6325O;Mn;20.6;22.0;24.8;27.3;30.4;34.8;37.2;37.4;33.0;29.5;24.8;21.4;38.0
6325O;Md;20.8;22.0;24.9;27.0;30.6;34.8;37.0;36.9;33.5;29.3;25.0;21.9;38.1
6325O;S;1.38;1.52;2.14;1.89;2.10;2.13;1.98;1.95;2.00;1.41;2.06;1.26;1.47
6325O;Cv;0.07;0.07;0.09;0.07;0.07;0.06;0.05;0.05;0.06;0.05;0.08;0.06;0.04
9091O;N;30;30;30;30;30;30;30;30;30;30;30;30;30
9091O;Min;11.0;12.0;15.0;17.8;20.4;25.7;28.4;30.6;26.2;20.1;15.2;12.0;33.5
9091O;Q1;13.2;13.9;19.9;22.6;26.1;31.0;34.6;33.0;28.9;23.1;17.7;13.4;35.4
9091O;Q2;14.6;15.9;21.9;23.6;27.7;31.8;35.3;34.2;30.7;24.5;18.5;14.5;36.1
9091O;Q3;15.2;18.0;23.2;25.4;29.2;32.7;35.8;35.1;32.0;25.7;19.0;15.4;36.8
9091O;Q4;16.3;19.6;24.0;26.7;30.0;34.5;36.8;36.6;33.6;27.8;20.4;17.1;37.4
9091O;Max;18.7;21.5;26.6;28.2;33.0;37.4;38.4;38.7;37.2;29.3;22.2;20.3;38.7
9091O;Mn;15.0;17.6;22.5;24.1;28.4;32.2;35.6;34.6;31.4;25.2;18.9;15.0;36.4
9091O;Md;14.9;16.8;22.1;24.2;28.3;32.4;35.3;34.7;31.3;25.2;19.0;15.3;36.4
9091O;S;1.67;2.60;2.33;2.43;2.60;2.39;2.04;2.09;2.78;2.33;1.64;2.07;1.26
9091O;Cv;0.11;0.15;0.11;0.10;0.09;0.07;0.06;0.06;0.09;0.09;0.09;0.14;0.03
1212E;N;30;30;30;30;30;30;30;29;29;29;29;29;29
1212E;Min;13.6;14.4;17.2;17.6;17.4;21.4;24.0;24.5;22.8;20.0;17.6;15.5;26.2
1212E;Q1;17.1;17.8;19.4;19.3;21.8;23.4;24.6;25.4;24.6;23.0;20.0;18.0;27.3
1212E;Q2;18.5;19.2;21.0;21.4;23.2;24.2;25.4;26.0;25.4;24.2;21.7;19.8;29.2
1212E;Q3;20.0;20.3;21.9;22.3;24.5;25.2;26.6;27.0;26.7;25.2;22.7;20.4;30.6
