Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1495;Q3;42.3;40.6;31.5;31.8;29.6;23.4;16.0;22.6;38.0;51.6;56.8;57.1;78.7
1495;Q4;58.9;56.5;44.3;42.5;37.9;29.3;30.8;35.0;58.7;75.7;72.2;72.3;94.1
1495;Max;95.1;71.4;79.6;70.5;65.9;43.2;46.1;72.4;94.1;171.9;101.6;80.1;171.9
1495;Mn;36.8;37.8;28.4;30.1;27.5;20.1;14.5;20.6;29.3;49.4;50.1;53.4;75.5
1495;Md;41.0;38.7;31.6;30.8;29.6;21.8;16.0;21.4;36.2;55.2;50.1;49.5;79.9
1495;S;19.58;17.55;17.23;13.75;14.42;10.05;12.59;15.79;25.35;31.92;24.72;21.27;23.07
1495;Cv;0.48;0.45;0.54;0.45;0.49;0.46;0.79;0.74;0.70;0.58;0.49;0.43;0.29
2867;N;30;30;30;30;30;30;30;30;30;30;30;30;30
2867;Min;0.1;0.7;0.0;4.0;2.2;0.0;0.0;0.0;1.0;1.5;0.0;1.2;17.1
2867;Q1;3.8;3.6;3.5;6.0;7.6;3.5;0.9;0.4;5.4;7.0;6.3;6.3;22.1
2867;Q2;8.6;4.5;4.6;8.1;11.5;9.0;5.1;3.4;9.4;11.8;10.7;8.1;27.3
2867;Q3;10.9;8.9;8.3;10.7;17.4;15.5;7.5;6.6;14.8;17.5;14.1;14.4;30.2
2867;Q4;17.9;13.6;9.7;14.3;24.2;24.7;13.7;16.1;24.8;22.3;17.1;19.6;37.8
2867;Max;29.1;25.7;18.9;22.9;41.4;48.7;24.4;25.4;41.0;43.5;50.3;28.5;50.3
2867;Mn;9.4;6.4;7.5;9.6;12.9;12.3;5.5;4.6;11.6;12.7;12.4;9.3;28.8
2867;Md;11.1;8.7;7.3;10.6;16.0;14.7;7.2;7.6;14.7;15.3;12.7;12.6;30.0
2867;S;7.87;6.71;4.63;5.27;9.61;12.07;6.49;8.16;10.82;9.14;9.12;7.77;8.49
2867;Cv;0.71;0.77;0.64;0.49;0.60;0.82;0.90;1.08;0.74;0.60;0.72;0.62;0.28
2870;N;20;18;16;20;21;18;20;20;20;19;20;18;4
2870;Min;0.0;1.0;2.7;3.7;2.8;2.2;0.2;0.0;0.6;4.2;0.0;1.5;
2870;Q1;1.9;3.5;4.3;6.4;7.7;5.6;0.6;0.9;5.5;9.6;3.8;8.1;
2870;Q2;7.5;4.1;6.6;8.3;14.6;7.7;2.2;3.5;10.9;12.1;8.2;10.2;
2870;Q3;11.7;7.7;9.5;12.1;19.5;16.5;7.2;6.3;14.7;16.5;10.9;15.2;
2870;Q4;20.7;12.8;14.8;17.0;23.1;32.0;11.9;14.4;22.2;18.1;16.4;21.2;
2870;Max;35.0;20.0;16.8;22.2;31.4;48.2;23.1;22.6;43.0;33.6;27.3;28.0;
2870;Mn;10.8;5.1;8.7;10.5;18.8;11.2;5.6;4.8;13.1;14.1;9.2;12.5;
2870;Md;11.4;7.5;9.0;11.4;16.5;16.7;6.6;6.6;14.6;15.2;10.3;14.2;
2870;S;9.77;5.21;4.67;5.33;7.72;13.90;6.66;6.31;10.67;7.19;7.35;7.63;
2870;Cv;0.86;0.70;0.52;0.47;0.47;0.83;1.02;0.95;0.73;0.47;0.71;0.54;
C929I;N;30;30;30;30;30;30;30;30;30;30;30;30;30
C929I;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;6.2
C929I;Q1;0.2;0.2;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.7;1.0;1.9;18.2
C929I;Q2;3.2;4.1;6.5;1.0;0.0;0.0;0.0;0.0;0.1;3.1;4.4;10.4;33.8
C929I;Q3;8.8;8.5;15.0;3.9;1.1;0.1;0.0;0.0;1.4;5.6;9.7;16.7;50.4
C929I;Q4;19.3;23.1;27.6;10.0;2.9;0.6;0.2;1.0;2.9;12.6;25.0;37.7;81.2
C929I;Max;79.4;280.0;70.0;121.1;9.0;13.7;2.2;5.0;28.7;29.5;153.3;136.2;280.0
C929I;Mn;6.1;6.2;8.4;2.1;0.4;0.0;0.0;0.0;0.7;4.3;7.7;13.7;37.8
C929I;Md;14.1;22.0;15.2;9.1;1.5;0.8;0.1;0.6;2.4;6.8;21.2;22.1;60.0
C929I;S;21.64;52.15;16.52;23.36;2.26;2.52;0.41;1.24;5.40;7.51;38.67;28.11;58.39
C929I;Cv;1.53;2.37;1.09;2.57;1.52;3.24;3.01;2.20;2.23;1.11;1.83;1.27;0.97
C430E;N;30;29;29;29;30;30;30;30;30;30;30;30;29
C430E;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0
C430E;Q1;7.1;0.6;5.0;0.8;0.0;0.0;0.0;0.0;0.0;1.2;4.1;10.8;33.1
C430E;Q2;10.8;10.8;13.4;4.1;0.0;0.0;0.0;0.0;1.0;4.9;10.2;17.2;42.2
C430E;Q3;16.6;26.6;25.0;6.9;2.9;0.0;0.0;0.2;4.3;15.7;22.0;23.5;75.0
C430E;Q4;39.5;49.4;32.4;18.9;9.3;0.6;0.0;6.4;15.6;27.2;49.8;41.7;108.7
C430E;Max;144.8;158.2;337.0;73.6;24.3;5.2;8.1;46.1;44.2;80.0;103.3;125.3;337.0
C430E;Mn;15.5;14.6;17.7;6.4;0.8;0.0;0.0;0.0;2.2;7.3;13.9;19.0;62.4
C430E;Md;26.2;30.9;36.6;9.7;4.4;0.5;0.4;4.8;7.3;16.2;25.0;29.5;77.8
C430E;S;33.39;38.94;65.67;14.23;6.13;1.15;1.53;10.72;11.09;20.01;26.11;27.98;63.75
C430E;Cv;1.28;1.26;1.79;1.46;1.41;2.52;3.74;2.22;1.52;1.24;1.05;0.95;0.82
C139E;N;30;30;30;29;30;30;30;30;30;30;30;30;29
C139E;Min;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;1.0;4.7;2.5;12.9
C139E;Q1;3.2;0.9;2.2;1.6;0.2;0.0;0.0;0.0;0.1;4.0;6.9;6.4;40.7
C139E;Q2;6.6;11.7;3.6;5.1;0.8;0.2;0.0;0.0;2.0;8.8;13.9;12.8;48.6
C139E;Q3;18.7;20.0;14.4;7.9;2.8;0.6;0.4;0.6;4.2;14.9;24.5;33.2;67.0
C139E;Q4;32.7;45.6;27.5;13.0;6.4;1.8;1.9;1.8;10.1;39.4;34.2;47.8;113.3
C139E;Max;95.8;183.6;150.1;67.0;32.0;8.2;6.6;9.0;44.7;63.9;155.4;129.6;183.6
C139E;Mn;12.1;13.2;8.9;5.9;1.8;0.4;0.2;0.4;3.1;11.5;18.1;21.1;57.6
C139E;Md;21.4;26.1;18.8;11.0;4.7;1.2;0.9;1.2;7.8;18.4;31.6;32.4;71.0
C139E;S;24.56;37.04;29.95;15.74;7.56;2.12;1.58;2.01;12.04;17.58;40.25;33.78;42.37
C139E;Cv;1.15;1.42;1.59;1.43;1.61;1.72;1.78;1.75;1.53;0.95;1.27;1.04;0.60
C449C;N;30;30;30;30;30;30;30;30;30;30;30;30;30
C449C;Min;0.1;0.0;0.3;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.3;12.9
C449C;Q1;1.6;0.8;4.0;1.2;0.1;0.0;0.0;0.0;0.0;0.3;3.9;2.8;23.7
C449C;Q2;6.9;7.3;11.8;2.8;0.6;0.0;0.0;0.0;0.8;3.0;8.5;10.3;32.9
C449C;Q3;11.5;15.8;16.4;5.7;1.9;0.2;0.0;0.1;1.6;7.5;13.4;17.5;41.6
C449C;Q4;25.2;29.6;20.1;11.4;4.3;0.9;0.1;0.9;7.6;17.6;24.6;33.4;67.5
C449C;Max;64.9;103.8;232.6;23.3;13.2;6.5;0.7;25.7;34.8;45.8;68.1;82.7;232.6
C449C;Mn;9.2;12.6;14.2;4.4;1.3;0.0;0.0;0.0;1.0;4.4;10.3;13.3;33.9
C449C;Md;13.3;18.4;22.7;6.4;2.3;0.8;0.1;1.4;5.4;9.0;16.5;19.4;48.3
C449C;S;14.31;24.12;42.43;6.39;2.93;1.72;0.17;4.76;10.16;10.93;16.85;19.33;41.33
C449C;Cv;1.07;1.31;1.87;1.00;1.26;2.16;2.92;3.35;1.89;1.22;1.02;1.00;0.86
C447A;N;30;30;30;30;30;30;30;30;30;30;30;30;30
C447A;Min;1.0;0.0;1.7;3.6;0.2;0.0;0.0;0.0;0.0;0.0;2.4;2.0;21.8
C447A;Q1;7.4;6.3;11.7;6.3;1.7;0.6;0.2;0.4;2.1;4.1;10.4;10.5;31.3
C447A;Q2;16.1;21.7;18.0;8.5;4.7;2.4;0.5;0.8;3.4;10.6;18.9;17.4;41.6
C447A;Q3;32.2;28.4;24.2;12.5;8.4;4.4;2.7;2.7;5.6;18.6;33.6;28.0;48.3
C447A;Q4;43.4;37.2;33.5;21.7;20.6;11.2;5.7;5.5;10.5;25.9;44.5;44.8;81.2
C447A;Max;85.3;134.1;120.8;41.1;29.9;20.0;18.7;19.6;48.7;51.5;101.2;101.7;134.1
C447A;Mn;24.0;26.5;20.9;10.0;6.9;3.0;1.3;1.5;4.9;11.9;26.4;22.2;45.4
C447A;Md;28.3;27.9;25.5;14.0;9.4;5.4;3.0;3.3;8.2;16.5;29.1;28.3;54.3
C447A;S;21.86;25.62;21.89;10.77;8.94;5.64;4.13;4.76;10.16;13.72;21.68;23.30;28.95
C447A;Cv;0.77;0.92;0.86;0.77;0.96;1.04;1.36;1.43;1.24;0.83;0.75;0.82;0.53
C429I;N;30;30;30;29;30;30;30;30;30;30;30;30;29
C429I;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
C429I;Q1;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.5;16.3
C429I;Q2;1.9;3.8;2.0;0.5;0.0;0.0;0.0;0.0;0.0;1.9;1.7;7.6;20.4
