Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3129;Min;0.5;1.8;5.2;6.6;10.0;12.3;19.0;22.2;14.0;8.0;2.4;1.8;0.5
3129;Q1;1.9;3.2;6.1;10.2;12.1;17.8;23.7;23.2;17.4;11.7;7.3;3.4;1.8
3129;Q2;3.4;6.0;9.3;10.6;13.4;20.3;25.3;24.9;19.1;13.9;7.8;5.0;2.7
3129;Q3;6.2;7.0;10.2;11.8;14.9;22.0;26.4;26.3;19.8;14.7;9.3;5.9;3.2
3129;Q4;7.4;8.7;11.8;12.2;17.0;24.0;29.0;28.0;21.8;16.2;10.8;6.8;5.2
3129;Max;7.8;12.0;16.0;16.4;19.8;26.4;31.3;30.4;27.3;18.2;13.8;8.2;6.4
3129;Mn;4.2;6.2;10.0;11.0;14.3;21.3;25.6;25.4;19.5;14.3;9.0;5.6;3.0
3129;Md;4.6;6.3;9.5;11.1;14.3;21.1;26.1;25.6;19.6;13.9;8.7;5.2;3.3
3129;S;2.45;2.68;2.84;2.16;2.53;3.29;2.81;2.16;2.86;2.44;2.24;1.72;1.65
3129;Cv;0.53;0.43;0.30;0.20;0.18;0.16;0.11;0.08;0.15;0.17;0.26;0.33;0.50
3196;N;30;30;29;30;30;30;30;30;30;30;30;29;28
3196;Min;0.0;2.0;4.4;6.0;9.8;11.2;16.8;21.6;14.0;9.4;2.6;1.5;0.0
3196;Q1;2.0;3.0;5.4;9.6;11.7;17.2;23.4;22.9;16.7;11.2;6.6;3.4;1.7
3196;Q2;3.5;5.0;9.0;10.2;13.3;19.5;24.7;24.0;17.9;13.2;7.6;5.0;2.6
3196;Q3;5.6;6.0;9.4;11.0;14.6;21.3;26.4;25.7;19.0;14.0;8.7;5.8;3.8
3196;Q4;6.6;8.4;11.0;12.0;16.6;23.3;27.8;27.5;21.3;15.0;9.9;6.6;5.0
3196;Max;8.4;11.6;15.8;16.6;18.2;26.0;30.0;29.8;26.6;16.6;13.4;8.0;5.8
3196;Mn;4.8;5.4;9.2;10.4;13.9;20.5;25.1;25.1;18.3;13.4;8.4;5.4;3.0
3196;Md;4.4;5.8;9.0;10.7;14.0;20.3;25.3;25.1;18.9;13.2;8.3;5.1;3.2
3196;S;2.46;2.70;2.85;2.16;2.45;3.16;2.83;2.25;2.82;2.05;2.15;1.61;1.64
